 date_of_observation,sea_level_pressure,dew_point,wind_direction,wind_speed,air_temperature
5/2/2015,29.70333333,77.5,186.6666667,16.2,86.23333333
5/3/2015,29.71,70.2,170,5.8,81.1
5/12/2015,29.69333333,78.26666667,175,12,86.95
5/13/2015,29.75,75.5,130,9.75,81.6
5/16/2015,29.59,77.7,140,3.9,84.7
5/17/2015,29.60857143,78.27142857,205.7142857,11.64285714,85.01428571
5/18/2015,29.60875,77.9625,185,15.3125,86.05
5/19/2015,29.601,80.04,212,21.01,86.38
5/20/2015,29.63,80.14285714,224.2857143,21.64285714,88.12857143
5/21/2015,29.63,79.2,200,27.2,86
5/22/2015,29.615,80.4375,210,25.5,86.8
5/23/2015,29.61333333,80.21111111,218.8888889,25.27777778,86.64444444
5/24/2015,27.48071429,80.55714286,186.4285714,22.21428571,85.50714286
5/25/2015,29.604,80.92,202,22.94,85.6
5/26/2015,29.62285714,80.65714286,215.7142857,22.21428571,86.6
5/27/2015,29.61,79.7,220,25.3,86.2
5/28/2015,29.55,79.8,220,22.35,82.75
5/29/2015,29.5975,80.3125,215,15.5375,83.975
5/30/2015,29.62125,77.9125,197.5,10.95,84.9375
5/31/2015,29.61333333,81.43333333,203.3333333,17.5,84.46666667
6/4/2015,29.64,79.52,186,17.12,86.06
6/5/2015,29.642,79.68,216,19.04,85.32
6/6/2015,29.67,79,230,19.4,85.6
6/18/2015,29.54333333,74.8,253.3333333,10.06666667,83.83333333
6/19/2015,29.5475,73.4,245,12.65,85.275
6/20/2015,29.5275,76.675,237.5,12.175,85.825
6/28/2015,29.644,78.58,190,21,85.32
6/29/2015,29.735,75,215,12.65,85
6/30/2015,29.69666667,79.26666667,206.6666667,25.3,85.23333333
7/21/2015,29.55142857,74.24285714,205.7142857,13.07142857,83.34285714
7/22/2015,29.57,73.1,195,7.8,82.65
8/20/2015,29.71333333,79.1,183.3333333,14.9,87.73333333
8/22/2015,29.645,75.15,230,18.5,82.4
8/23/2015,29.68,76.8,250,17.5,84.7
9/14/2015,29.6275,76.55,232.5,13.125,85.625
9/24/2015,29.69142857,78.74285714,191.4285714,15.3,84.75714286
9/25/2015,29.6675,79.125,210,12.8875,85.2
9/26/2015,29.69666667,78.5,246.6666667,14.9,86.76666667
9/27/2015,29.67,77.03333333,286.6666667,7.45,84.23333333
9/28/2015,29.6675,77.7,145,6.8,85.2125
9/29/2015,29.69875,75.375,236.25,3.3875,82.9375
9/30/2015,29.77,74.8,260,3.9,84.6
10/8/2015,29.70666667,77.26666667,223.3333333,19.43333333,83.46666667
10/9/2015,29.7125,77.025,287.5,15.075,83.875
10/10/2015,29.692,76.8,216,15.56,84.68
10/11/2015,29.74,75.7,150,13.6,82.8
10/12/2015,29.74,75.6,150,15.6,83.3
10/16/2015,29.74,71.4,340,3.9,86.2
10/17/2015,29.79142857,73.88571429,140,9.157142857,85.45714286
10/18/2015,29.82666667,72.2,123.3333333,9.066666667,86
10/19/2015,29.79125,75.1125,240,10.2,84.8
10/21/2015,29.746,72.98,218,7.78,85.46
10/22/2015,29.79,69.45,195,9.75,83.6
10/24/2015,29.8,70.3,90,13.6,85.6
10/31/2015,29.78,73.8,30,7.8,83.5
11/1/2015,29.74,74.7,260,11.7,80.2
12/5/2015,29.80571429,74.98571429,41.42857143,19.14285714,80.88571429
12/8/2015,29.93,70.3,10,15.6,81.3
1/7/2016,29.93,67.3,70,10.7,80.1
1/19/2016,29.84333333,69.86666667,140,10.4,79.83333333
1/20/2016,29.85,69.4,150,9.7,79
1/21/2016,29.87,71.6,80,11.7,80.8
1/23/2016,29.89,72.5,10,15.6,79.9
1/24/2016,29.92,69.26666667,36.66666667,11.66666667,80.36666667
2/7/2016,29.885,70.53333333,61.66666667,8.75,80.95
2/8/2016,29.89,69.35,85,4.85,80.45
2/13/2016,29.9,69.35,105,8.75,80.25
2/14/2016,29.916,69.06,96,10.5,80.56
2/18/2016,29.9575,73.425,50,8.275,81.475
2/19/2016,29.98,73.2,50,8.75,81.6
2/20/2016,29.94,75.2,230,1.9,81.5
2/21/2016,30.02,75.6,205,7.75,82.4
2/22/2016,29.94333333,70.73333333,146.6666667,15.56666667,81.5
2/23/2016,29.95333333,69.7,156.6666667,11.66666667,81.66666667
2/24/2016,29.91,71.9,173.3333333,9.066666667,82.1
3/27/2016,29.91,72.5,135,9.7,83.05
3/28/2016,29.9325,73,147.5,7.775,84.525
4/9/2016,29.86,76.6,176.6666667,14.93333333,84.86666667
4/10/2016,29.886,75,180,7.38,86.5
5/3/2016,29.7575,79.1,162.5,15.575,87.575
5/4/2016,29.77,79,170,19.4,86.9
5/9/2016,29.78,79.65,170,12.65,87.7
5/10/2016,29.815,79.1,147.5,7.8,88.425
5/24/2016,29.64,82.08,0,0,86.98
5/25/2016,29.67,80.2,0,0,85.3
6/1/2016,29.68,80.15,205,8.433333333,88.11666667
6/4/2016,29.71,78.4,360,11.7,84.7
6/5/2016,29.71666667,78.6,6.666666667,6.466666667,85.23333333
7/22/2016,29.71,73.76666667,246.6666667,11.03333333,83.86666667
7/23/2016,29.696,74,96,6.24,84.04
8/5/2016,29.7,74.7,0,0,84.4
8/6/2016,29.72666667,75.36666667,80,4.533333333,84.13333333
8/7/2016,29.735,52.475,260,13.15,87.175
8/8/2016,29.742,75.48,168,13.2,85.56
8/9/2016,29.75833333,75.83333333,216.6666667,12.33333333,85.06666667
8/10/2016,29.7625,65.025,197.5,12.15,85.4625
8/11/2016,29.77428571,75.34285714,192.8571429,13.07142857,84.81428571
8/12/2016,29.74846154,77.16153846,200,12.23846154,85.37692308
8/13/2016,26.0125,65.8625,181.25,12.4,73.4875
8/14/2016,29.7,75.76,256,14.4,85.44
8/17/2016,29.60333333,74.6,243.3333333,15.53333333,85.43333333
8/18/2016,29.65,74.72,178,10.12,86.96
8/22/2016,29.75,79,176.6666667,7.783333333,86.5
8/23/2016,29.65,78.6,190,13.6,84.9
8/24/2016,29.68,77,230,9.7,85.3
9/1/2016,29.73428571,76.78571429,234.2857143,10.27142857,83.71428571
9/2/2016,29.73,75.4,170,7.8,80.2
9/15/2016,29.664,75.86,136,8.16,84.62
9/17/2016,29.6925,77.125,315,21.85,83.925
9/26/2016,29.705,78.95,35,9.7,84.4
9/27/2016,29.73666667,75.83333333,103.3333333,9.4,82.98333333
10/3/2016,29.82,77,47.5,22.35,83.175
10/6/2016,29.805,79.1,275,14.6,85.65
10/7/2016,29.815,80.45,300,5.85,85.8
10/10/2016,29.78,75.9,160,9.733333333,83.73333333
10/11/2016,29.75714286,76.91428571,135.7142857,9.728571429,84.45714286
10/12/2016,29.735,78.525,152.5,8.75,84.95
10/13/2016,29.77125,76.8625,208.75,4.1125,85.525
10/14/2016,29.78875,75.7875,203.75,6.55,86
10/15/2016,29.8,74.75,165,13.125,84.85
10/18/2016,29.78,72.3,320,23.3,84.7
10/28/2016,29.8375,74.575,62.5,23.825,83.3
10/29/2016,29.86333333,76.95,148.3333333,8.433333333,82.93333333
10/30/2016,29.885,75.85,245,11.65,83.1
10/31/2016,29.934,74.35333333,264,8.686666667,83.28666667
11/1/2016,29.90333333,72.86666667,253.3333333,9.7,83.13333333
11/2/2016,29.895,77.46666667,228.3333333,16.85,82.76666667
11/3/2016,29.89,77.4,290,3.9,83.3
11/4/2016,29.85666667,77.93333333,150,5.833333333,84.16666667
11/5/2016,29.846,76.02,126,12.44,85.48
11/6/2016,29.92,75.4,200,7.8,83.1
11/7/2016,29.955,76.23333333,231.6666667,10.05,83.81666667
11/8/2016,29.87,66.2,140,1.9,84.4
11/9/2016,29.9975,66.125,147.5,10.2,82.95
11/10/2016,29.925,65.4,275,18,81.95
11/12/2016,30,76.4,353.3333333,20.1,81.96666667
11/13/2016,30.035,76.45,340,9.7,80.65
11/14/2016,30,76.775,175,12.15,82.9
11/16/2016,29.98,76.8,350.3333333,12.96666667,83.9
11/18/2016,29.97666667,74.53333333,336.6666667,15.53333333,83.46666667
11/19/2016,29.91666667,72.5,333.3333333,16.2,82.4
11/20/2016,29.96,72.7,320,17.5,82
11/30/2016,29.93,72.85,82.5,3.9,81.825
12/1/2016,26.16125,65.7875,82.5,14.1,81.1375
12/2/2016,30.01,74.46666667,207,11.01666667,82.21666667
12/16/2016,22.505,51.675,277.5,12.65,60.225
12/17/2016,30.03,69.025,270,8.25,80.025
12/18/2016,29.95333333,68.53333333,220,14.23333333,80.1
12/19/2016,29.965,70.5,210,26.25,80.15
12/22/2016,30.02142857,65,271.5714286,8.871428571,79.94285714
12/23/2016,29.984,64.76,214.2,10.88,80.98
12/24/2016,29.90714286,61.07142857,124.4285714,6.671428571,78.7
12/25/2016,30.00285714,65.08571429,300,10.28571429,79.47142857
12/26/2016,29.98,73.4,360,9.7,79.7
12/27/2016,30.005,75.5,350,9.7,81.75
12/31/2016,30.02125,71.8125,346.375,10.2125,81.425
1/1/2017,30.025,73.35,325,14.6,81.55
1/2/2017,30.0175,71.4,190.5,11.675,81.55
1/3/2017,30.014,70.08,330,11.68,80.58
1/4/2017,30.005,72.8,360,10.7,82.3
1/5/2017,30.02333333,72.56666667,356.6666667,7.8,84.36666667
1/6/2017,29.92,63.12,32,11.68,78.96
1/7/2017,29.92555556,64.21111111,175.7777778,10.81111111,80.46666667
1/8/2017,29.905,60.35,50,12.65,78.2
1/9/2017,29.95142857,66.14285714,171.4285714,6.657142857,80.37142857
1/10/2017,29.975,69.775,40,4.85,82.075
1/12/2017,29.975,70.6,345,14.6,80.05
1/13/2017,29.93,68.23333333,120,14.93333333,81.1
1/17/2017,29.98875,61.3375,53.75,13.375,78.475
1/18/2017,29.98,59.9,60,13.6,78.3
1/24/2017,29.975,68.1,90,11.7,78.5
1/25/2017,30.04,68.4,70,11.7,80.1
1/28/2017,29.9375,73.5,75,10.725,79.25
2/14/2017,30.035,67.55,65,12.65,79.15
2/15/2017,30.115,68,70,10.7,81.05
2/17/2017,29.96333333,63.34444444,73.33333333,10.58888889,81.23333333
2/26/2017,29.88833333,70.8,90,6.816666667,79.26666667
2/27/2017,29.9225,70.55,48.75,9.2375,79.9875
2/28/2017,29.92875,69.9625,105.125,9.975,79.35
3/1/2017,29.89846154,70.75384615,81.53846154,8.384615385,79.8
3/2/2017,29.8625,71.025,117.5,9.4875,79.3125
3/3/2017,29.8,72.2,155,10.7,79.83333333
3/4/2017,29.83,76,280,9.75,82.5
3/11/2017,29.755,78.25,0,0,82.5
3/12/2017,29.8075,78.15,135,10.95,83.025
3/13/2017,29.83166667,77.78333333,273.3333333,14.58333333,83.31666667
3/15/2017,29.84,73.8,0,0,81.9
3/16/2017,29.84857143,73.32857143,285.7142857,8.328571429,83.6
3/17/2017,29.8225,74.625,218.75,9.725,82.7875
3/19/2017,29.82333333,76.26666667,0,0,82.8
3/20/2017,29.895,75.45,0,0,84.1
3/23/2017,29.97,77.2,160,8.433333333,86.9
3/26/2017,29.94,77.275,0,0,87
3/27/2017,29.97,64.34,0,0,72.72
3/29/2017,29.93666667,69.5,0,0,74.86666667
3/30/2017,29.91333333,42.74444444,68.88888889,4.755555556,46.92222222
3/31/2017,29.94666667,79.9,0,0,86.43333333
4/1/2017,29.93,82.55714286,0,0,89.45714286
4/2/2017,29.895,81.95,0,0,88.75
4/3/2017,29.91571429,81.57142857,0,0,88.75714286
4/5/2017,29.87625,81.0625,0,0,86.9875
4/6/2017,29.87,81.5,0,0,86.5
4/7/2017,29.845,80.75,0,0,86.8
4/8/2017,29.83333333,78.85,63.33333333,3.883333333,85.85
4/9/2017,29.81,78.2,140,11.675,84.575
4/10/2017,29.83125,81.6625,0,0,87.7625
4/11/2017,29.81,82.2,0,0,86.55
4/12/2017,29.82727273,81.04545455,51.81818182,2.118181818,88.5
4/13/2017,29.89333333,86.06666667,0,0,61.03333333
4/14/2017,29.84142857,79.32857143,0,0,88.18571429
4/15/2017,29.82,39.75,0,0,43
4/16/2017,29.76125,84.85,0,0,90.1125
4/17/2017,29.81,85.06666667,0,0,90.63333333
4/18/2017,29.789,83.49,33,3.69,88.79
4/19/2017,29.75444444,81.21111111,65.55555556,3.888888889,86.61111111
4/20/2017,29.76333333,80.71666667,71.66666667,5.516666667,86.61666667
4/21/2017,29.81333333,83.13333333,0,0,88.65
4/22/2017,18.60875,52.4625,73.75,7.05,54.425
4/23/2017,29.79,85.5,0,0,87.1
4/24/2017,29.769,83.91,74.1,3.7,86.71
4/25/2017,29.77846154,82.71538462,89.30769231,8.376923077,86.66923077
4/26/2017,29.77363636,82.49090909,99.09090909,9.190909091,85.76363636
4/27/2017,29.80545455,81.87272727,69.09090909,5.836363636,86.94545455
4/28/2017,29.80533333,82.19333333,78.06666667,6.36,86.86
4/29/2017,29.814,80.8,72,4.48,87.99
4/30/2017,29.84166667,85.15,0,0,89.51666667
5/1/2017,29.8825,82.125,0,0,88.15
5/2/2017,29.872,79.62,169,6.81,87.12
5/3/2017,29.91571429,82.7,0,0,89.42857143
5/6/2017,29.92,84.36666667,0,0,89.3
5/7/2017,29.89,85.7,0,0,90.85
5/8/2017,29.775,82.65,202.5,10.2,88.8
5/9/2017,29.81333333,88.2,0,0,92.36666667
5/19/2017,29.64,80.7,215,24.3,86.1
5/20/2017,29.7,77.3,190,16.55,86.45
5/21/2017,29.57666667,80.36666667,0,0,87.8
5/23/2017,29.64666667,79.03333333,263.3333333,5.166666667,86.4
5/27/2017,29.58666667,79.76666667,223.3333333,9.7,86.96666667
5/28/2017,29.555,80.725,30,7.3,88.575
6/1/2017,29.63,80.6,202,11.26,86.2
6/12/2017,29.624,79.5,184,18.26,86.38
6/13/2017,29.64,79.58571429,185.7142857,17.22857143,87.07142857
6/14/2017,29.695,80.1125,230,18.9625,85.05
6/15/2017,29.70888889,79.04444444,201.1111111,12.53333333,84.73333333
6/16/2017,29.725,78.8,200,12.65,83.6
6/17/2017,23.76,81.18,180,17.2,87.34
6/18/2017,29.665,78.35,177.5,9.7,87
6/19/2017,29.67666667,77.95,183.3333333,12.96666667,84
6/20/2017,29.68375,77.525,201.25,13.375,83.9875
6/21/2017,29.765,78.65,250,10.8,85.65
6/26/2017,29.6,76.8125,5,2.1875,88.1625
6/29/2017,29.68,73.66666667,153.3333333,9.733333333,86.73333333
7/4/2017,29.67666667,77,226.6666667,11.7,85.93333333
7/6/2017,29.6925,80.725,267.5,16.05,87.325
7/7/2017,29.7025,76.525,187.5,5.85,84.825
7/11/2017,29.695,74.3,275,4.85,85.8
7/12/2017,29.745,76.21666667,0,0,85.23333333
7/13/2017,29.75,73,40,5.8,83.1
7/15/2017,29.76,75.3,230,14.6,83.1
7/16/2017,11.892,30.16,270,13.6,34.14
7/19/2017,29.63285714,76.45714286,201.4285714,18.31428571,84.77142857
7/20/2017,21.54636364,56.59090909,201.8181818,16.44545455,62
7/21/2017,29.66125,76.3,190,15.5625,85.3125
7/22/2017,29.68125,78.35,188.75,11.425,85.7375
7/23/2017,29.655,78.99166667,181.6666667,14.1,85.49166667
7/24/2017,29.66,71.19166667,170.8333333,7.291666667,86.55
7/25/2017,29.685,76.675,240,10.675,85.425
7/28/2017,22.29916667,58.63333333,255,13.60833333,64.51666667
7/29/2017,29.73375,79.35,247.5,10.7,86.15
7/30/2017,29.715,78.8,190,8.75,86.9
8/2/2017,0,0,233.3333333,6.466666667,0
8/5/2017,29.58,78.875,227.5,11.175,86.275
8/6/2017,29.64,82,300,21.4,90.5
8/11/2017,29.75,77.83333333,201.6666667,11.68333333,84.83333333
8/12/2017,19.84,52.06666667,193.3333333,9.408333333,56.725
8/13/2017,29.78375,77.5125,246.25,11.6625,84.4
8/14/2017,27.64785714,70.1,199.2857143,9.021428571,78.88571429
8/15/2017,29.75071429,75.00714286,207.1428571,11.52857143,83.86428571
8/16/2017,29.7,75.37777778,211.1111111,14.25555556,83.06666667
8/17/2017,29.64,76.86,224,14.78,84.3
8/18/2017,5.932,14.9,216,9.7,16.38
8/19/2017,29.63,75.86666667,216.6666667,11.66666667,86.3
8/21/2017,29.614,77.5,196,10.9,84.84
8/22/2017,29.63,74.8,210,7.8,82.6
8/23/2017,29.65833333,78.6,206.6666667,9.733333333,86.5
8/24/2017,29.6625,75.975,260,10.7,82.75
8/25/2017,29.72,75.1,235,8.75,81.4
9/1/2017,14.715,78.85,275,12.65,83.85
9/2/2017,23.79,80.88,278,9.72,86.24
9/4/2017,29.76,78.6,170,11.7,84.9
9/9/2017,14.83166667,77.98333333,175,16.53333333,84.56666667
9/11/2017,29.775,76.8,160,9.725,84.65
9/12/2017,29.8,78.025,170,8.7375,85.1875
9/13/2017,29.78375,78.0375,177.5,15.325,85.1875
9/14/2017,29.745,77.2,191.25,11.6625,84.35
9/15/2017,19.84666667,75.46666667,280,12.3,82.7
9/17/2017,29.74333333,75.96666667,235,19.76666667,84.03333333
9/18/2017,29.755,74.0625,231.25,16.05,82.725
9/19/2017,29.71875,74.8125,198.75,12.375,85.375
9/20/2017,29.746,72.68,242,12.52,85.46
9/22/2017,19.83,74.71666667,78.33333333,1.933333333,84.58333333
9/23/2017,29.71,77.5,200,11.7,84.2
9/24/2017,29.71,78.7,175,10.7,84.65
9/25/2017,29.682,75.22,242,11.28,83.79
9/26/2017,29.69625,75.15,195,6.0875,82.85
9/28/2017,29.674,75.26,208,6.22,83.36
9/29/2017,29.69,73.15,220,8.75,85.55
10/8/2017,29.74,81,300,15.6,86.7
10/10/2017,29.66,77.975,100,8.25,85.25
10/11/2017,29.7,77.2,172.5,6.5625,85.375
10/12/2017,29.71375,77.575,195,7.2875,83.725
10/13/2017,29.684,77.22,168,7,83
10/17/2017,29.70666667,76.66666667,0,0,83.46666667
10/20/2017,29.705,77.7,190,12.65,86
10/23/2017,29.9525,78.125,267.5,22.35,84.775
11/2/2017,29.83,71.8,350,13.6,81.1
11/6/2017,29.83,74.1,0,0,81.95
11/8/2017,29.87,72.9,50,13.6,83.8
11/9/2017,29.815,72.4,15,17.5,84.1
11/15/2017,0,76.8,80,29.2,82
11/16/2017,14.765,77.9,45,13.6,82.3
11/20/2017,7.47,76,52.5,2.425,81.5
11/28/2017,29.85666667,74.76666667,116.6666667,9.1,81.43333333
12/2/2017,0,70,116.6666667,17.5,81.3
12/9/2017,29.84,77,200,11.1,84.2
12/10/2017,29.94666667,72.8,46.66666667,10.4,79.46666667
12/11/2017,29.92,72.3,20,13.6,76.5
12/12/2017,29.92833333,73.23333333,110,4.2,80.5
12/13/2017,29.92666667,73.2,41.66666667,7.466666667,80.98333333
12/14/2017,29.92142857,74.37142857,72.85714286,11.67142857,80.38571429
12/15/2017,29.97166667,71.63333333,45,14.93333333,81.06666667
12/16/2017,29.99444444,70.98888889,68.88888889,14.71111111,82.04444444
12/17/2017,30,67.8625,57.5,18.225,80.6625
12/18/2017,29.998,65.3,52,17.48,80.06
12/19/2017,29.94,70,43.33333333,21.36666667,79.7
12/20/2017,29.97857143,70.51428571,12.85714286,9.442857143,79.35714286
12/21/2017,29.975,72.29,81,16.35,79.02
12/22/2017,22.46166667,70.69166667,55,15.875,79.675
12/23/2017,29.907,68.37,50,13.44,79.39
12/24/2017,29.91,73.6,20,15.85,80.35
12/25/2017,29.945,72.15,52.5,13.575,79.35
12/26/2017,21.77454545,70.10909091,95.45454545,16.49090909,79.20909091
12/27/2017,29.92571429,64.05714286,51.42857143,14.18571429,79.3
12/28/2017,29.91666667,64.53333333,43.33333333,13.3,78.71666667
12/29/2017,29.93,68.03333333,40,16.2,79.1
12/31/2016,28.87912965,74.31818727,153.622449,10.61704682,82.5332533
